"","week","transect","time","cluster","totalSpiders"
"124",26,"control","am","two",2
"125",26,"control","am","two",4
"126",26,"control","am","two",1
"127",26,"control","am","three",2
"128",26,"control","am","three",6
"129",26,"control","am","three",1
"130",26,"control","pm","one",4
"131",26,"control","pm","one",3
"132",26,"control","pm","one",2
"133",26,"control","pm","two",5
"134",26,"control","pm","two",4
"135",26,"control","pm","two",0
"136",26,"control","pm","three",4
"137",26,"control","pm","three",5
"138",26,"control","pm","three",3
"139",27,"oakMargin","am","one",1
"140",27,"oakMargin","am","one",1
"141",27,"oakMargin","am","two",3
"142",27,"oakMargin","am","two",0
"143",27,"oakMargin","am","three",3
"144",27,"oakMargin","am","three",1
"145",27,"oakMargin","pm","one",3
"146",27,"oakMargin","pm","two",2
"147",27,"oakMargin","pm","three",6
"148",27,"control","am","one",1
"149",27,"control","am","one",1
"150",27,"control","am","two",3
"151",27,"control","am","two",0
"152",27,"control","am","three",3
"153",27,"control","am","three",1
"154",27,"control","pm","one",3
"155",27,"control","pm","two",2
"156",27,"control","pm","three",6
"157",28,"oakMargin","am","one",2
"158",28,"oakMargin","am","one",4
"159",28,"oakMargin","am","one",6
"160",28,"oakMargin","am","two",2
"161",28,"oakMargin","am","two",3
"162",28,"oakMargin","am","two",4
"163",28,"oakMargin","am","three",1
"164",28,"oakMargin","am","three",1
"165",28,"oakMargin","am","three",7
"166",28,"oakMargin","pm","one",9
"167",28,"oakMargin","pm","one",3
"168",28,"oakMargin","pm","one",3
"169",28,"oakMargin","pm","two",4
"170",28,"oakMargin","pm","two",2
"171",28,"oakMargin","pm","two",3
"172",28,"oakMargin","pm","three",7
"173",28,"oakMargin","pm","three",1
"174",28,"oakMargin","pm","three",3
"175",28,"control","am","one",2
"176",28,"control","am","one",4
"177",28,"control","am","one",6
"178",28,"control","am","two",2
"179",28,"control","am","two",3
"180",28,"control","am","two",4
"181",28,"control","am","three",1
"182",28,"control","am","three",1
"183",28,"control","am","three",7
"184",28,"control","pm","one",9
"185",28,"control","pm","one",3
"186",28,"control","pm","one",3
"187",28,"control","pm","two",4
"188",28,"control","pm","two",2
"189",28,"control","pm","two",3
"190",28,"control","pm","three",7
"191",28,"control","pm","three",1
"192",28,"control","pm","three",3
"193",29,"oakMargin","am","one",2
"194",29,"oakMargin","am","one",4
"195",29,"oakMargin","am","one",2
"196",29,"oakMargin","am","two",1
"197",29,"oakMargin","am","two",1
"198",29,"oakMargin","am","two",3
"199",29,"oakMargin","am","three",3
"200",29,"oakMargin","am","three",0
"201",29,"oakMargin","am","three",1
"202",29,"oakMargin","pm","one",3
"203",29,"oakMargin","pm","one",1
"204",29,"oakMargin","pm","one",2
"205",29,"oakMargin","pm","two",2
"206",29,"oakMargin","pm","two",2
"207",29,"oakMargin","pm","two",4
"208",29,"oakMargin","pm","three",6
"209",29,"oakMargin","pm","three",4
"210",29,"oakMargin","pm","three",2
"211",29,"control","am","one",2
"212",29,"control","am","one",4
"213",29,"control","am","one",2
"214",29,"control","am","two",1
"215",29,"control","am","two",1
"216",29,"control","am","two",3
"217",29,"control","am","three",3
"218",29,"control","am","three",0
"219",29,"control","am","three",1
"220",29,"control","pm","one",3
"221",29,"control","pm","one",1
"222",29,"control","pm","one",2
"223",29,"control","pm","two",2
"224",29,"control","pm","two",2
"225",29,"control","pm","two",4
"226",29,"control","pm","three",6
"227",29,"control","pm","three",4
"228",29,"control","pm","three",2
"229",30,"oakMargin","am","one",4
"230",30,"oakMargin","am","one",1
"231",30,"oakMargin","am","one",0
"232",30,"oakMargin","am","two",3
"233",30,"oakMargin","am","two",2
"234",30,"oakMargin","am","two",0
"235",30,"oakMargin","am","three",3
"236",30,"oakMargin","am","three",3
"237",30,"oakMargin","am","three",1
"238",30,"oakMargin","pm","one",2
"239",30,"oakMargin","pm","one",0
"240",30,"oakMargin","pm","one",0
"241",30,"oakMargin","pm","two",6
"242",30,"oakMargin","pm","two",1
"243",30,"oakMargin","pm","two",3
"244",30,"oakMargin","pm","three",3
"245",30,"oakMargin","pm","three",2
"246",30,"oakMargin","pm","three",0
"247",30,"control","am","one",4
"248",30,"control","am","one",1
"249",30,"control","am","one",0
"250",30,"control","am","two",3
"251",30,"control","am","two",2
"252",30,"control","am","two",0
"253",30,"control","am","three",3
"254",30,"control","am","three",3
"255",30,"control","am","three",1
"256",30,"control","pm","one",2
"257",30,"control","pm","one",0
"258",30,"control","pm","one",0
"259",30,"control","pm","two",6
"260",30,"control","pm","two",1
"261",30,"control","pm","two",3
"262",30,"control","pm","three",3
"263",30,"control","pm","three",2
"264",30,"control","pm","three",0
"265",31,"oakMargin","am","one",1
"266",31,"oakMargin","am","one",1
"267",31,"oakMargin","am","one",2
"268",31,"oakMargin","am","two",1
"269",31,"oakMargin","am","two",0
"270",31,"oakMargin","am","two",1
"271",31,"oakMargin","am","three",2
"272",31,"oakMargin","am","three",7
"273",31,"oakMargin","am","three",1
"274",31,"oakMargin","pm","one",1
"275",31,"oakMargin","pm","one",1
"276",31,"oakMargin","pm","one",2
"277",31,"oakMargin","pm","two",3
"278",31,"oakMargin","pm","two",0
"279",31,"oakMargin","pm","two",2
"280",31,"oakMargin","pm","three",0
"281",31,"oakMargin","pm","three",2
"282",31,"oakMargin","pm","three",0
"283",31,"control","am","one",1
"284",31,"control","am","one",1
"285",31,"control","am","one",2
"286",31,"control","am","two",1
"287",31,"control","am","two",0
"288",31,"control","am","two",1
"289",31,"control","am","three",2
"290",31,"control","am","three",7
"291",31,"control","am","three",1
"292",31,"control","pm","one",1
"293",31,"control","pm","one",1
"294",31,"control","pm","one",2
"295",31,"control","pm","two",3
"296",31,"control","pm","two",0
"297",31,"control","pm","two",2
"298",31,"control","pm","three",0
"299",31,"control","pm","three",2
"300",31,"control","pm","three",0
"301",32,"oakMargin","am","one",1
"302",32,"oakMargin","am","one",1
"303",32,"oakMargin","am","one",1
"304",32,"oakMargin","am","two",0
"305",32,"oakMargin","am","two",1
"306",32,"oakMargin","am","two",0
"307",32,"oakMargin","am","three",1
"308",32,"oakMargin","am","three",1
"309",32,"oakMargin","am","three",0
"310",32,"oakMargin","pm","one",1
"311",32,"oakMargin","pm","one",3
"312",32,"oakMargin","pm","one",0
"313",32,"oakMargin","pm","two",1
"314",32,"oakMargin","pm","two",3
"315",32,"oakMargin","pm","two",1
"316",32,"oakMargin","pm","three",1
"317",32,"oakMargin","pm","three",4
"318",32,"oakMargin","pm","three",1
"319",32,"control","am","one",1
"320",32,"control","am","one",1
"321",32,"control","am","one",1
"322",32,"control","am","two",0
"323",32,"control","am","two",1
"324",32,"control","am","two",0
"325",32,"control","am","three",1
"326",32,"control","am","three",1
"327",32,"control","am","three",0
"328",32,"control","pm","one",1
"329",32,"control","pm","one",3
"330",32,"control","pm","one",0
"331",32,"control","pm","two",1
"332",32,"control","pm","two",3
"333",32,"control","pm","two",1
"334",32,"control","pm","three",1
"335",32,"control","pm","three",4
"336",32,"control","pm","three",1
"337",34,"oakMargin","am","one",0
"338",34,"oakMargin","am","one",0
"339",34,"oakMargin","am","one",0
"340",34,"oakMargin","am","two",0
"341",34,"oakMargin","am","two",0
"342",34,"oakMargin","am","two",0
"343",34,"oakMargin","am","three",1
"344",34,"oakMargin","am","three",0
"345",34,"oakMargin","am","three",0
"346",34,"oakMargin","pm","one",1
"347",34,"oakMargin","pm","one",1
"348",34,"oakMargin","pm","one",0
"349",34,"oakMargin","pm","two",0
"350",34,"oakMargin","pm","two",0
"351",34,"oakMargin","pm","two",0
"352",34,"oakMargin","pm","three",0
"353",34,"oakMargin","pm","three",0
"354",34,"oakMargin","pm","three",2
"355",34,"control","am","one",0
"356",34,"control","am","one",0
"357",34,"control","am","one",0
"358",34,"control","am","two",0
"359",34,"control","am","two",0
"360",34,"control","am","two",0
"361",34,"control","am","three",1
"362",34,"control","am","three",0
"363",34,"control","am","three",0
"364",34,"control","pm","one",1
"365",34,"control","pm","one",1
"366",34,"control","pm","one",0
"367",34,"control","pm","two",0
"368",34,"control","pm","two",0
"369",34,"control","pm","two",0
"370",34,"control","pm","three",0
"371",34,"control","pm","three",0
"372",34,"control","pm","three",2
